bodyId_pre,bodyId_post,roi,weight,layer_name,type_pre,instance_pre,type_post,instance_post
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12396,LegNp(T1)(L),20,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl56_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,12686,LegNp(T1)(L),38,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl54_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,13490,LegNp(T1)(L),27,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl53_DProN_L
21862,19319,LegNp(T1)(L),32,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl55_DProN_L
21862,19319,LegNp(T1)(L),32,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl55_DProN_L
21862,19319,LegNp(T1)(L),32,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl55_DProN_L
21862,19319,LegNp(T1)(L),32,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl55_DProN_L
21862,19319,LegNp(T1)(L),32,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl55_DProN_L
21862,19319,LegNp(T1)(L),32,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl55_DProN_L
21862,19319,LegNp(T1)(L),32,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl55_DProN_L
21862,19319,LegNp(T1)(L),32,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl55_DProN_L
21862,19319,LegNp(T1)(L),32,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl55_DProN_L
21862,19319,LegNp(T1)(L),32,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl55_DProN_L
21862,19319,LegNp(T1)(L),32,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl55_DProN_L
21862,19319,LegNp(T1)(L),32,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl55_DProN_L
21862,19319,LegNp(T1)(L),32,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl55_DProN_L
21862,19319,LegNp(T1)(L),32,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl55_DProN_L
21862,19319,LegNp(T1)(L),32,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl55_DProN_L
21862,19319,LegNp(T1)(L),32,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl55_DProN_L
21862,19319,LegNp(T1)(L),32,manc-seg-v1.2 4B manual  IR- proprioceptice tactile n=3,IN04B101,IN04B101_T1_L,Tergopleural/Pleural promotor MN,MNfl55_DProN_L
